variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,validator_storage_head_bytes,validator_storage_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
scalar16,scalar,honest_homo,eval_028,global_shared,99.99,1.5,16,64,192,125330,125330,2132,32,96,253010,253074,1.618,1.639083,0.086167,0.0655,0.002417,3.325,0,,,186
scalar16,scalar,honest_homo,eval_029,global_shared,99.99,1.5,16,64,192,125406,125406,2132,32,96,253162,253226,1.701291,1.590375,0.088125,0.064916,0.002375,3.358957,0,,,186
scalar16,scalar,honest_homo,eval_030,global_shared,99.99,1.5,16,64,192,94632,94632,2132,32,96,191614,191678,1.557792,1.524417,0.086875,0.066209,0.002333,3.150751,0,,,186
scalar16,scalar,honest_homo,eval_031,global_shared,99.99,1.5,16,64,192,109933,109933,2132,32,96,222216,222280,1.564375,1.59475,0.096542,0.070583,0.002667,3.232375,0,,,186
scalar16,scalar,honest_homo,eval_032,global_shared,99.99,1.5,16,64,192,117742,117742,2132,32,96,237834,237898,1.60825,1.557167,0.083083,0.0675,0.002209,3.235126,0,,,186
scalar16,scalar,honest_homo,eval_033,global_shared,99.99,1.5,16,64,192,102412,102412,2132,32,96,207174,207238,1.592791,1.635209,0.104708,0.070417,0.002666,3.301083,0,,,186
scalar16,scalar,honest_homo,eval_034,global_shared,99.99,1.5,16,64,192,102360,102360,2132,32,96,207070,207134,1.700542,1.56225,0.094209,0.068083,0.002542,3.333417,0,,,186
scalar16,scalar,honest_homo,eval_035,global_shared,99.99,1.5,16,64,192,102369,102369,2132,32,96,207088,207152,1.582375,1.576875,0.084458,0.06675,0.002417,3.228417,0,,,186
scalar16,scalar,honest_homo,eval_036,global_shared,99.99,1.5,16,64,192,102345,102345,2132,32,96,207040,207104,1.588083,1.748625,0.0945,0.06525,0.002375,3.404333,0,,,186
scalar16,scalar,honest_homo,eval_037,global_shared,99.99,1.5,16,64,192,133072,133072,2132,32,96,268494,268558,1.624792,1.579333,0.082,0.06775,0.002417,3.274292,0,,,186
scalar16,scalar,honest_homo,eval_038,global_shared,99.99,1.5,16,64,192,133104,133104,2132,32,96,268558,268622,1.648875,1.680291,0.083958,0.070125,0.002541,3.401832,0,,,186
scalar16,scalar,honest_homo,eval_039,global_shared,99.99,1.5,16,64,192,133130,133130,2132,32,96,268610,268674,1.75425,1.678791,0.086209,0.066667,0.0025,3.502208,0,,,186
scalar16,scalar,honest_homo,eval_040,global_shared,99.99,1.5,16,64,192,102351,102351,2132,32,96,207052,207116,1.612875,1.581542,0.083,0.081125,0.002458,3.278,0,,,186
scalar16,scalar,honest_homo,eval_041,global_shared,99.99,1.5,16,64,192,117781,117781,2132,32,96,237912,237976,1.656791,1.691917,0.106167,0.068709,0.002625,3.420042,0,,,186
scalar16,scalar,honest_homo,eval_042,global_shared,99.99,1.5,16,64,192,125483,125483,2132,32,96,253316,253380,1.629375,1.568041,0.0825,0.065875,0.002458,3.265749,0,,,186
